timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,user_agent,url,is_internal_traffic,label,attack_type
10/1/2025 0:12,188.176.27.165,253.240.113.218,56377,445,TCP,8029,17204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/login?id=385071,FALSE,0,benign
10/1/2025 0:23,68.59.26.43,212.75.38.111,51165,1433,TCP,676368,2643374,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/owa/auth/logon.aspx?id=280743,FALSE,0,benign
10/1/2025 0:25,119.204.243.78,90.28.90.234,14948,1433,TCP,316502,38571,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,FALSE,0,benign
10/1/2025 0:27,122.119.194.175,175.140.78.230,36097,443,TCP,70933,21935,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=114701,FALSE,0,benign
10/1/2025 0:40,181.199.242.68,55.99.177.69,445,21255,TCP,12721,9939,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/config.php?id=345569,FALSE,0,benign
10/1/2025 0:56,38.222.6.74,191.130.7.118,58858,445,UDP,150393,94993,curl/8.4.0,,FALSE,0,benign
10/1/2025 1:19,238.229.195.174,16.182.72.24,25167,443,TCP,3592,1081,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://internal.bank.local/?id=432022,TRUE,0,benign
10/1/2025 1:34,81.21.49.235,119.87.191.7,37602,22,TCP,123317,41293,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=957608,FALSE,0,benign
10/1/2025 1:35,137.181.221.157,44.124.13.254,18315,53,TCP,97222,233071,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,https://internal.bank.local/admin?id=567716,FALSE,0,benign
10/1/2025 1:40,236.139.171.70,89.15.217.112,12283,21,TCP,17289,35727,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,FALSE,0,benign
10/1/2025 1:57,69.50.130.168,202.51.199.195,12037,80,UDP,136311,418831,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://api.service.io/owa/auth/logon.aspx?id=897930,TRUE,0,benign
10/1/2025 2:31,150.200.236.198,87.119.113.169,80,213,TCP,3150,11715,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,1,port-scan
10/1/2025 2:40,173.123.99.134,51.62.255.196,60094,53,UDP,2909,7940,curl/8.4.0,,FALSE,0,benign
10/1/2025 2:47,87.92.160.141,21.130.233.148,28959,80,TCP,105318,46807,python-urllib/3.9,,FALSE,0,benign
10/1/2025 2:59,3.4.34.4,195.162.182.66,27098,3389,TCP,19218,16094,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,FALSE,0,benign
10/1/2025 3:24,106.50.53.176,189.33.87.145,19578,21,TCP,57690,96184,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 3:38,115.179.112.186,236.84.149.193,37290,1433,TCP,405720,1305168,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),https://api.service.io/wp-login.php?id=407810,FALSE,0,benign
10/1/2025 3:41,73.128.98.9,195.91.80.2,22933,80,TCP,6935,19414,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 3:56,7.47.29.241,211.92.36.92,10972,22,TCP,17511,35981,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://internal.bank.local/manager/html?id=204536,FALSE,0,benign
10/1/2025 4:11,153.111.62.182,202.92.24.131,3389,21,TCP,271417,482806,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/login?id=262850,FALSE,0,benign
10/1/2025 5:01,246.61.44.220,151.181.71.29,53,443,TCP,64213,67744,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://webmail.corp/dashboard?id=296452,FALSE,0,benign
10/1/2025 5:07,155.66.192.169,214.7.89.118,24974,3389,TCP,7189,8460,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,TRUE,0,benign
10/1/2025 5:45,196.94.56.179,1.61.80.107,57116,445,UDP,4778,11371,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://app.company.in/manager/html?id=948249,FALSE,0,benign
10/1/2025 5:58,48.129.150.120,156.220.85.86,53819,443,TCP,9462,14565,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/?id=493246,FALSE,0,benign
10/1/2025 5:59,170.38.232.237,248.23.167.195,35602,21,TCP,6758,9064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 6:14,255.141.218.178,15.244.116.253,51620,1433,TCP,32201,128441,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://internal.bank.local/wp-login.php?id=134862,FALSE,0,benign
10/1/2025 6:22,232.165.131.42,183.69.142.192,25424,445,UDP,24971,7262,python-urllib/3.9,https://webmail.corp/login?id=895434,FALSE,0,benign
10/1/2025 6:36,200.37.141.199,236.32.118.228,19269,5,UDP,7781,26386,curl/8.4.0,https://portal.example.org/login?id=969994,FALSE,1,port-scan
10/1/2025 7:01,16.195.198.86,154.151.122.14,40858,3389,TCP,5737,22359,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/dashboard?id=169999,FALSE,0,benign
10/1/2025 7:33,255.30.132.245,210.50.67.202,43570,443,TCP,19666,37072,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/config.php?id=809262,TRUE,0,benign
10/1/2025 8:05,209.135.91.113,190.86.249.65,57588,21,TCP,821,2803,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 8:13,18.251.102.157,154.203.77.202,22,22,ICMP,27778,106478,python-requests/2.31.0,https://api.service.io/backup.sql?id=369045,FALSE,0,benign
10/1/2025 8:15,101.91.251.28,255.61.200.51,21027,53,UDP,144452,444250,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,https://webmail.corp/phpmyadmin?id=453617,TRUE,0,benign
10/1/2025 8:53,37.220.111.158,246.144.151.13,3577,443,UDP,2253,7192,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 9:34,165.54.226.184,195.118.246.165,24447,445,TCP,47738,59837,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/api/v1/users?id=314737,FALSE,0,benign
10/1/2025 9:36,67.52.17.19,101.181.131.54,22,80,TCP,8286,19778,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/?id=647220,FALSE,0,benign
10/1/2025 10:06,19.128.228.5,153.136.79.216,25,22,UDP,79538,141624,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://internal.bank.local/?id=276227,FALSE,0,benign
10/1/2025 10:22,230.254.76.168,143.11.23.207,1433,443,TCP,28391,105998,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://portal.example.org/owa/auth/logon.aspx?id=109069,TRUE,0,benign
10/1/2025 10:50,164.0.19.171,58.13.210.164,29599,80,TCP,42088,146722,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=799500,FALSE,0,benign
10/1/2025 10:52,100.136.77.180,66.49.147.143,25170,53,TCP,24433,60898,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 10:58,85.200.1.132,143.147.43.154,22,443,UDP,184486,202730,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/?id=503436,TRUE,0,benign
10/1/2025 11:15,182.251.244.112,167.23.163.208,28933,22,TCP,38401,157040,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 11:43,104.35.115.1,140.159.54.208,443,1433,TCP,7124,9076,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://portal.example.org/owa/auth/logon.aspx?id=730696,TRUE,0,benign
10/1/2025 12:04,99.246.62.146,213.139.253.170,24239,22,TCP,25795,9386,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 12:06,138.183.170.175,28.171.14.215,12201,22,TCP,12207,4711,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 12:14,78.205.28.162,81.60.64.234,24549,1433,TCP,28562,109042,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/api/v1/users?id=898783,FALSE,0,benign
10/1/2025 12:19,246.46.187.137,55.238.249.44,443,443,TCP,11252,14019,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://portal.example.org/.env?id=303232,FALSE,0,benign
10/1/2025 12:44,219.174.41.216,27.30.26.124,54007,53,TCP,7458,12261,curl/8.4.0,,FALSE,0,benign
10/1/2025 12:55,118.148.103.46,65.147.131.121,54240,22,TCP,30297,45458,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 13:09,142.20.196.170,147.118.54.178,44214,3306,ICMP,24083,92876,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 13:23,49.153.199.230,19.241.63.125,6941,25,UDP,120852,106718,python-requests/2.31.0,,FALSE,0,benign
10/1/2025 13:44,28.183.249.22,241.128.5.8,22143,53,TCP,11339,33930,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/dashboard?id=267759,FALSE,0,benign
10/1/2025 13:44,227.224.97.36,52.131.182.101,53145,445,UDP,925,3853,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://internal.bank.local/?id=773094,FALSE,0,benign
10/1/2025 14:13,10.98.12.185,136.141.202.85,34030,21,TCP,12305,32941,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 14:17,152.122.250.100,173.249.106.123,21035,445,TCP,1632,5758,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 14:51,17.157.255.137,76.142.193.104,39571,3389,TCP,42833,161349,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",,FALSE,0,benign
10/1/2025 14:52,248.230.8.10,52.238.185.99,34531,25,TCP,1512,3304,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/.env?id=658782,TRUE,0,benign
10/1/2025 15:08,87.28.172.202,57.201.193.187,19043,22,TCP,4530,17976,curl/8.4.0,https://portal.example.org/wp-login.php?id=203454,FALSE,0,benign
10/1/2025 15:18,185.21.207.31,177.208.223.90,40240,25,TCP,12335,22276,curl/8.4.0,https://internal.bank.local/wp-login.php?id=981257,TRUE,0,benign
10/1/2025 15:18,55.234.76.190,27.75.3.143,5211,22,TCP,260490,453705,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/dashboard?id=537644,FALSE,0,benign
10/1/2025 15:22,149.119.36.10,28.0.98.112,27955,3306,TCP,3957,12394,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,FALSE,0,benign
10/1/2025 15:24,189.72.250.168,133.107.78.92,18531,80,TCP,22468,65842,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://api.service.io/backup.sql?id=390948,FALSE,0,benign
10/1/2025 15:26,5.241.23.63,216.67.144.2,40726,25,TCP,55712,95270,curl/8.4.0,,FALSE,0,benign
10/1/2025 15:46,180.66.7.45,79.110.126.199,27713,53,TCP,236687,181586,curl/8.4.0,https://app.company.in/wp-login.php?id=492322,FALSE,0,benign
10/1/2025 15:54,162.25.157.211,94.59.205.5,9714,25,TCP,76456,139657,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://api.service.io/admin?id=322013,FALSE,0,benign
10/1/2025 16:34,204.49.233.157,36.202.168.124,47609,1433,TCP,126785,496484,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,FALSE,0,benign
